report_id,crew_id,report_date,fatigue_level,samn_perelli_score,notes,category,created_at
51,2,2026-01-11,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-11 20:20:37
52,2,2026-01-15,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-01-15 22:04:33
53,2,2026-01-17,Low,2,"Well rested, good sleep last night.",Post-Flight,2026-01-17 17:19:46
54,2,2026-01-21,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-21 11:52:42
55,2,2026-01-25,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-01-25 22:02:28
56,2,2026-01-26,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-01-26 11:00:00
57,2,2026-01-28,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-01-28 18:03:48
58,2,2026-01-29,Low,2,Feeling fully alert and rested.,Layover,2026-01-29 18:00:00
59,2,2026-02-07,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-02-07 05:47:28
60,2,2026-02-10,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-02-10 23:15:03
61,2,2026-02-17,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-02-17 01:09:38
62,2,2026-02-19,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-02-19 01:34:28
63,2,2026-02-22,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-02-22 13:38:18
64,2,2026-03-01,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-03-01 19:08:22
65,2,2026-03-05,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-03-05 09:36:19
66,2,2026-03-12,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-03-12 00:38:46
67,2,2026-03-20,Low,2,Feeling fully alert and rested.,Pre-Flight,2026-03-20 19:08:04
68,2,2026-03-25,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-03-25 03:46:02
69,2,2026-03-26,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-03-26 19:24:54
70,2,2026-03-27,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-03-27 18:00:00
71,2,2026-03-28,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-03-28 18:00:00
72,2,2026-04-04,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-04-04 01:25:17
73,2,2026-04-07,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-04-07 02:17:50
74,2,2026-04-09,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-04-09 04:27:40
75,2,2026-04-13,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-04-13 05:33:38
76,2,2026-04-19,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-19 21:34:53
77,2,2026-04-23,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-23 20:20:38
78,2,2026-04-30,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-30 09:48:52
79,2,2026-05-03,Low,2,Feeling fully alert and rested.,Post-Flight,2026-05-03 08:33:48
80,2,2026-05-03,Mild,3,"Minor drowsiness, manageable.",Scheduled Check-in,2026-05-03 17:00:00
81,2,2026-05-12,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-05-12 06:00:02
82,2,2026-05-15,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-05-15 06:23:05
83,2,2026-05-19,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-05-19 05:39:04
84,2,2026-05-19,Mild,3,Slightly tired but functioning normally.,Scheduled Check-in,2026-05-19 20:00:00
85,2,2026-05-22,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-05-22 19:41:31
86,2,2026-05-28,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-05-28 12:32:05
87,2,2026-06-03,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-06-03 23:21:02
88,2,2026-06-08,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-06-08 23:49:22
89,2,2026-06-10,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-06-10 10:05:19
90,2,2026-06-13,Low,2,Feeling fully alert and rested.,Post-Flight,2026-06-13 02:55:44
91,2,2026-06-16,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-06-16 18:48:14
92,2,2026-06-17,Low,2,"No fatigue concerns, ready for duty.",Layover,2026-06-17 15:00:00
93,2,2026-06-19,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-06-19 04:25:42
94,2,2026-06-19,Moderate,4,Reduced alertness after multiple sectors.,Scheduled Check-in,2026-06-19 15:00:00
95,2,2026-06-21,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-06-21 14:55:03
96,2,2026-06-24,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-06-24 03:03:18
97,2,2026-06-24,Low,1,Feeling fully alert and rested.,Layover,2026-06-24 17:00:00
98,2,2026-06-28,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-06-28 05:52:33
99,2,2026-07-01,Low,2,Feeling fully alert and rested.,Post-Flight,2026-07-01 06:09:34
100,3,2026-01-08,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-01-08 17:55:53
101,3,2026-01-11,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-01-11 01:54:27
102,3,2026-01-16,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-01-16 13:20:36
103,3,2026-01-18,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-01-18 22:59:24
104,3,2026-01-19,Mild,3,A bit sluggish after early report time.,Layover,2026-01-19 10:00:00
105,3,2026-01-21,Low,2,"No fatigue concerns, ready for duty.",Scheduled Check-in,2026-01-21 09:00:00
106,3,2026-01-22,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-01-22 11:45:55
107,3,2026-01-24,Low,2,"No fatigue concerns, ready for duty.",Layover,2026-01-24 10:00:00
108,3,2026-01-25,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-01-25 05:25:00
109,3,2026-01-31,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-01-31 06:23:24
110,3,2026-02-05,Severe,7,"Fighting to stay awake, flagged to scheduling.",Post-Flight,2026-02-05 07:54:14
111,3,2026-02-08,Low,1,Feeling fully alert and rested.,Post-Flight,2026-02-08 19:57:05
112,3,2026-02-11,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-02-12 01:23:46
113,3,2026-02-18,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-02-18 05:39:48
114,3,2026-02-22,High,6,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-02-22 08:24:24
115,3,2026-02-25,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-02-25 14:45:36
116,3,2026-02-27,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-02-27 17:15:36
117,3,2026-03-11,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-11 22:47:07
118,3,2026-03-14,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-14 09:10:18
119,3,2026-03-20,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-03-20 22:07:00
120,3,2026-03-20,Low,2,"Well rested, good sleep last night.",Layover,2026-03-20 08:00:00
121,3,2026-03-24,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-03-24 10:03:41
122,3,2026-03-29,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-03-29 07:38:02
123,3,2026-03-31,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-03-31 11:13:55
124,3,2026-04-05,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-04-05 04:25:00
125,3,2026-04-08,Low,2,Feeling fully alert and rested.,Post-Flight,2026-04-08 22:45:49
126,3,2026-04-09,Mild,3,"Minor drowsiness, manageable.",Layover,2026-04-09 15:00:00
127,3,2026-04-16,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-16 01:40:50
128,3,2026-04-17,Low,2,"Well rested, good sleep last night.",Post-Flight,2026-04-17 21:22:31
129,3,2026-04-17,Mild,3,"Minor drowsiness, manageable.",Layover,2026-04-17 19:00:00
130,3,2026-04-20,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-04-20 02:03:30
131,3,2026-04-21,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-04-21 23:40:26
132,3,2026-04-24,Mild,3,"Minor drowsiness, manageable.",Scheduled Check-in,2026-04-24 10:00:00
133,3,2026-04-25,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-04-25 21:15:09
134,3,2026-05-06,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-05-06 04:15:43
135,3,2026-05-18,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-05-18 17:18:31
136,3,2026-05-23,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-05-23 05:02:29
137,3,2026-05-26,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-05-26 23:29:17
138,3,2026-05-30,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-05-30 22:14:03
139,3,2026-06-02,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-06-02 10:33:39
140,3,2026-06-06,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-06-06 03:37:40
141,3,2026-06-06,Mild,3,"Minor drowsiness, manageable.",Layover,2026-06-06 19:00:00
142,3,2026-06-07,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-06-07 16:55:55
143,3,2026-06-12,Severe,7,"Fighting to stay awake, flagged to scheduling.",Post-Flight,2026-06-12 15:39:26
144,3,2026-06-15,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-06-15 08:00:00
145,3,2026-06-18,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-06-18 01:06:39
146,3,2026-06-21,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-06-21 19:13:49
147,3,2026-06-24,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-06-24 06:58:17
148,3,2026-06-28,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-06-28 08:16:13
149,3,2026-07-02,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-07-02 03:22:37
150,4,2026-01-08,High,6,Struggling to stay alert during cruise.,Pre-Flight,2026-01-08 02:44:01
151,4,2026-01-12,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-01-12 20:46:34
152,4,2026-01-17,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-01-17 10:19:01
153,4,2026-01-19,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-01-19 22:24:26
154,4,2026-01-20,Mild,3,Slightly tired but functioning normally.,Scheduled Check-in,2026-01-20 17:00:00
155,4,2026-01-27,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-01-27 07:54:25
156,4,2026-01-27,Low,1,Feeling fully alert and rested.,Layover,2026-01-27 14:00:00
157,4,2026-01-30,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-30 16:33:41
158,4,2026-02-10,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-02-10 02:35:52
159,4,2026-02-11,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-02-11 20:36:20
160,4,2026-02-16,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-02-16 04:44:16
161,4,2026-02-19,Low,1,Feeling fully alert and rested.,Layover,2026-02-19 20:00:00
162,4,2026-02-20,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-02-20 03:41:33
163,4,2026-02-22,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-02-22 17:55:21
164,4,2026-02-24,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-02-24 16:19:50
165,4,2026-02-28,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-03-01 00:22:03
166,4,2026-03-04,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-03-04 10:51:52
167,4,2026-03-06,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-03-06 13:01:01
168,4,2026-03-08,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-03-08 21:57:47
169,4,2026-03-12,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-03-12 08:40:12
170,4,2026-03-15,High,6,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-03-15 14:42:44
171,4,2026-03-20,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-03-20 11:53:40
172,4,2026-03-27,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-03-27 06:37:03
173,4,2026-03-30,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-03-30 02:12:30
174,4,2026-03-31,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-03-31 13:47:43
175,4,2026-04-04,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-04-04 03:36:14
176,4,2026-04-06,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-04-06 19:30:43
177,4,2026-04-10,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-10 07:15:18
178,4,2026-04-16,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-04-16 08:56:43
179,4,2026-04-19,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-04-19 21:19:53
180,4,2026-04-22,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-04-22 17:42:33
181,4,2026-04-25,High,6,Struggling to stay alert during cruise.,Pre-Flight,2026-04-25 18:23:54
182,4,2026-04-26,Low,2,"No fatigue concerns, ready for duty.",Scheduled Check-in,2026-04-26 20:00:00
183,4,2026-04-28,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-04-28 17:34:51
184,4,2026-05-05,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-05-05 04:56:54
185,4,2026-05-06,Low,2,"Well rested, good sleep last night.",Layover,2026-05-06 18:00:00
186,4,2026-05-13,Low,2,"Well rested, good sleep last night.",Pre-Flight,2026-05-13 23:25:26
187,4,2026-05-18,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-05-18 16:31:44
188,4,2026-05-28,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-05-28 03:50:13
189,4,2026-06-01,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-06-01 05:12:03
190,4,2026-06-04,High,6,Struggling to stay alert during cruise.,Post-Flight,2026-06-04 04:02:21
191,4,2026-06-05,Low,1,Feeling fully alert and rested.,Layover,2026-06-05 09:00:00
192,4,2026-06-10,High,5,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-06-11 00:17:33
193,4,2026-06-11,Low,1,"Well rested, good sleep last night.",Layover,2026-06-11 07:00:00
194,4,2026-06-12,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-06-12 23:08:57
195,4,2026-06-14,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-06-15 00:38:51
196,4,2026-06-16,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-06-16 21:36:58
197,4,2026-06-17,Low,2,"No fatigue concerns, ready for duty.",Scheduled Check-in,2026-06-17 08:00:00
198,4,2026-06-22,High,6,"Significant fatigue, concentration is difficult.",Post-Flight,2026-06-22 00:56:20
199,4,2026-06-22,Low,2,"Well rested, good sleep last night.",Scheduled Check-in,2026-06-22 16:00:00
200,4,2026-06-24,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-06-24 02:27:02
201,4,2026-07-02,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-07-02 12:53:18
202,5,2026-01-08,Low,2,"No fatigue concerns, ready for duty.",Post-Flight,2026-01-08 21:50:09
203,5,2026-01-11,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-11 02:10:26
204,5,2026-01-15,Low,2,"No fatigue concerns, ready for duty.",Pre-Flight,2026-01-15 07:58:23
205,5,2026-01-18,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-01-18 10:03:00
206,5,2026-01-19,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-01-19 23:41:45
207,5,2026-01-23,Moderate,4,Reduced alertness after multiple sectors.,Pre-Flight,2026-01-23 12:09:23
208,5,2026-01-27,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-01-27 04:49:15
209,5,2026-02-08,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-02-08 00:51:15
210,5,2026-02-11,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-02-12 00:35:29
211,5,2026-02-16,Low,1,Feeling fully alert and rested.,Layover,2026-02-16 19:00:00
212,5,2026-02-17,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-02-17 23:42:10
213,5,2026-02-23,Low,2,"Well rested, good sleep last night.",Layover,2026-02-23 07:00:00
214,5,2026-02-26,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-02-26 18:00:00
215,5,2026-03-01,Low,1,Feeling fully alert and rested.,Layover,2026-03-01 12:00:00
216,5,2026-03-02,Low,2,"Well rested, good sleep last night.",Post-Flight,2026-03-02 02:09:32
217,5,2026-03-06,High,5,"Significant fatigue, concentration is difficult.",Post-Flight,2026-03-06 05:17:03
218,5,2026-03-07,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-03-08 00:06:29
219,5,2026-03-11,Moderate,4,"Noticeable fatigue, functioning with some effort.",Pre-Flight,2026-03-11 13:01:13
220,5,2026-03-14,Mild,3,A bit sluggish after early report time.,Pre-Flight,2026-03-14 03:21:13
221,5,2026-03-16,High,5,Struggling to stay alert during cruise.,Pre-Flight,2026-03-16 22:17:49
222,5,2026-03-21,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-03-21 10:34:18
223,5,2026-03-24,Low,2,Feeling fully alert and rested.,Post-Flight,2026-03-24 06:38:38
224,5,2026-03-28,High,5,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-03-28 01:29:34
225,5,2026-03-28,Mild,3,A bit sluggish after early report time.,Scheduled Check-in,2026-03-28 16:00:00
226,5,2026-03-31,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-03-31 16:26:43
227,5,2026-04-07,Low,2,Feeling fully alert and rested.,Post-Flight,2026-04-07 05:34:25
228,5,2026-04-09,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-04-09 20:51:58
229,5,2026-04-17,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-04-17 11:00:36
230,5,2026-04-20,Low,2,"Well rested, good sleep last night.",Post-Flight,2026-04-20 06:26:02
231,5,2026-04-23,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-04-23 18:44:58
232,5,2026-04-27,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-04-27 01:03:39
233,5,2026-05-01,Mild,3,Slightly tired but functioning normally.,Scheduled Check-in,2026-05-01 15:00:00
234,5,2026-05-06,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-05-07 00:33:40
235,5,2026-05-13,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-05-13 12:54:51
236,5,2026-05-15,Mild,3,A bit sluggish after early report time.,Layover,2026-05-15 17:00:00
237,5,2026-05-16,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-05-16 17:33:26
238,5,2026-05-19,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-05-19 23:43:34
239,5,2026-05-23,Low,2,"Well rested, good sleep last night.",Post-Flight,2026-05-24 00:49:00
240,5,2026-05-26,High,6,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-05-26 03:15:35
241,5,2026-05-27,Moderate,4,Reduced alertness after multiple sectors.,Layover,2026-05-27 19:00:00
242,5,2026-05-31,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-05-31 07:25:35
243,5,2026-05-31,Low,2,Feeling fully alert and rested.,Layover,2026-05-31 12:00:00
244,5,2026-06-10,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-06-10 13:36:55
245,5,2026-06-15,Mild,3,A bit sluggish after early report time.,Post-Flight,2026-06-15 07:16:25
246,5,2026-06-19,High,5,"Fatigue impacting performance, requested extra rest.",Post-Flight,2026-06-19 05:02:56
247,5,2026-06-23,Low,1,"Well rested, good sleep last night.",Pre-Flight,2026-06-23 16:22:25
248,5,2026-06-25,Mild,3,"Minor drowsiness, manageable.",Post-Flight,2026-06-25 22:32:05
249,5,2026-06-27,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-06-27 14:42:54
250,5,2026-07-01,Moderate,4,Feeling the effects of the long duty day.,Pre-Flight,2026-07-01 23:24:58
251,6,2026-01-07,High,5,Struggling to stay alert during cruise.,Post-Flight,2026-01-07 13:24:35
252,6,2026-01-12,Low,2,Feeling fully alert and rested.,Layover,2026-01-12 14:00:00
253,6,2026-01-13,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-01-13 19:14:46
254,6,2026-01-16,Moderate,4,Feeling the effects of the long duty day.,Post-Flight,2026-01-16 16:50:38
255,6,2026-01-23,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-01-24 00:41:27
256,6,2026-01-25,High,6,"Significant fatigue, concentration is difficult.",Pre-Flight,2026-01-25 20:23:28
257,6,2026-01-30,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-01-30 01:25:48
258,6,2026-02-02,Moderate,4,Reduced alertness after multiple sectors.,Post-Flight,2026-02-02 03:31:45
259,6,2026-02-04,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-02-04 20:00:00
260,6,2026-02-11,Mild,3,"Minor drowsiness, manageable.",Pre-Flight,2026-02-12 00:21:01
261,6,2026-02-16,Mild,3,Slightly tired but functioning normally.,Pre-Flight,2026-02-16 20:55:15
262,6,2026-02-26,High,6,"Fatigue impacting performance, requested extra rest.",Pre-Flight,2026-02-26 09:24:04
263,6,2026-03-01,Mild,3,Slightly tired but functioning normally.,Post-Flight,2026-03-01 01:29:05
264,6,2026-03-02,Moderate,4,"Noticeable fatigue, functioning with some effort.",Post-Flight,2026-03-02 16:21:55
265,6,2026-03-06,Low,2,Feeling fully alert and rested.,Scheduled Check-in,2026-03-06 13:00:00
